CID;Meno/Priezvisko;Priezvisko;Tituly pred;Pohlavie;Datum narodenia;PSČ;Mesto;Kraj;Danovy domicil2
65847596;Róbert;Tester;JUDr.;muž;19.4.1963;84103;Bratislava;Bratislava;SR
60005743;Kazimierz;Seiffer;;muž;10.03.1923;16866;DĂ¶llen;Brandenburg;DE
60004823;Ahlas;SchĂ¶ttel;;muž;10.03.1931;17213;Kogel;Mecklenburg-Vorpommern;DE
60006981;Amewuga;GrĂ¶n;;muž;10.03.1945;38667;Bad Harzburg Harlingerode;Niedersachsen;DE
60000019;Lailah;Beeth;;žena;10.03.1986;99510;NiederreiĂźen;ThĂĽringen;DE
60004562;Constantin;Penzel;;muž;10.03.1991;74629;Pfedelbach;Baden-WĂĽrttemberg;DE
60003336;Muhammet;Klugmann;;muž;10.03.1999;39615;Neukirchen (Altmark);Sachsen-Anhalt;DE
60005333;Elmar;Frauenschuh;;muž;10.04.1920;39397;Nienhagen;Sachsen-Anhalt;DE
60001492;Roswitha;Behrs;;žena;10.04.1954;74374;Zaberfeld;Baden-WĂĽrttemberg;DE
60006174;Urumana-Amrei;Springe;;žena;10.04.1961;25560;Hadenfeld;Schleswig-Holstein;DE
60000946;Nicklas;Waischnor;;muž;10.04.1970;99735;Hohenstein;ThĂĽringen;DE
60008974;Lukia;Bardelmann;;žena;10.04.1985;6780;Schrenz;Sachsen-Anhalt;DE
60009261;Nias;GriĂźhaber;;muž;10.04.1993;17440;GroĂź Ernsthof;Mecklenburg-Vorpommern;DE
60005840;Milka;Degenhart;;žena;10.04.1956;54523;Dierscheid;Rheinland-Pfalz;DE
60006897;Nadisa;SĂĽtterle;;žena;10.04.1967;17217;Lapitz;Mecklenburg-Vorpommern;DE
60001115;Lozan;Enderleit;;muž;10.04.1984;82544;Egling;Bayern;DE
60008424;Meghan-Hope;Giesewetter;;žena;10.04.1985;18276;GroĂź Schwiesow;Mecklenburg-Vorpommern;DE
60007726;Mohanna;Rebenstock;;žena;10.04.1989;40595;DĂĽsseldorf;Nordrhein-Westfalen;DE
60000977;Alia-Nur;Schraeder;;žena;10.04.1994;17389;Anklam;Mecklenburg-Vorpommern;DE
60004018;Maliya;Buszat;;žena;10.04.1934;6313;Wimmelburg;Sachsen-Anhalt;DE
60003427;NoĂ©lie;FrĂĽhauff;;žena;10.04.1934;54636;Rittersdorf;Rheinland-Pfalz;DE
60008772;Ninon;Penning;;žena;10.04.1939;63538;GroĂźkrotzenburg;Hessen;DE
60008457;Ariyaz;JĂ¶rgen;;muž;10.04.1944;56357;Berg;Rheinland-Pfalz;DE
60002656;Grundtvorm;Cihangir;;muž;10.04.1957;24241;Blumenthal;Schleswig-Holstein;DE
60004776;Molli;Merkardt;;žena;10.04.1972;15910;DĂĽrrenhofe;Brandenburg;DE
60003790;Maximowna;Zikorsky;;žena;10.04.1977;18299;PĂ¶litz;Mecklenburg-Vorpommern;DE
60002113;Tiit;Hackenberger;;muž;10.04.1952;94143;Grainet;Bayern;DE
60002845;Bethsaleela;Haucke;;žena;10.04.1969;24793;OldenhĂĽtten;Schleswig-Holstein;DE
60006785;Rojat;Groenevelt;;muž;10.04.1978;25776;Sankt Annen;Schleswig-Holstein;DE
60008831;Finia;Schoenberger;;žena;10.04.1993;6408;PreuĂźlitz;Sachsen-Anhalt;DE
60005199;Masud;Wolfs;;muž;10.04.1924;25860;Horstedt;Schleswig-Holstein;DE
60009196;Asja;Einbrod;;žena;10.04.1936;70567;Stuttgart MĂ¶hringen;Baden-WĂĽrttemberg;DE
60003006;Carmilla;Pelzmann;;žena;10.04.1948;4880;Trossin;Sachsen;DE
60007912;Vahe;Sauerland;;muž;10.04.1974;38268;Lengede;Niedersachsen;DE
60003719;Mayea;Weittekemper;;žena;10.04.1982;30966;Hemmingen;Niedersachsen;DE
60007061;Yagiz;Kristoffersen;;muž;10.04.1999;98660;Grimmelshausen;ThĂĽringen;DE
60003620;Rahma;Zischg;;žena;10.04.1920;29378;Wittingen;Niedersachsen;DE
60001771;Adon;Fraemcke;;muž;10.04.1966;40545;DĂĽsseldorf;Nordrhein-Westfalen;DE
60009915;Kalman;GrĂ¶n;;muž;10.04.1974;15838;Kummersdorf-Gut;Brandenburg;DE
60007847;Mattias;Downarowicz;;muž;10.04.1994;99438;Oettern;ThĂĽringen;DE
60009691;Rozamin;Sonnberg;;žena;10.04.1952;56337;Simmern;Rheinland-Pfalz;DE
60004255;Ravza;Gorall;;žena;10.04.1961;50737;KĂ¶ln;Nordrhein-Westfalen;DE
60003678;LĂła;Meyercord;;žena;10.04.1988;99707;Hachelbich;ThĂĽringen;DE
60004405;Alois;Raymer;;muž;10.04.1996;56729;Monreal;Rheinland-Pfalz;DE
60002441;Finja-Claudia;Rudloffs;;žena;10.04.2004;86987;Schwabsoien;Bayern;DE
60001443;Tao;Stoltzmann;;muž;10.04.2009;54492;LĂ¶snich;Rheinland-Pfalz;DE
60006556;SayfulloeviÄŤ;Winterberg;;muž;10.04.1922;24340;Gammelby;Schleswig-Holstein;DE
60005103;Maiju;Wewerinck;;žena;10.04.1954;70188;Stuttgart;Baden-WĂĽrttemberg;DE
60002159;Lysander;Disbudak;;muž;10.04.1962;7570;Harth-PĂ¶llnitz Grochwitz;ThĂĽringen;DE
60001176;Nioh;von Winterfeld;;muž;10.04.1971;55296;Gau-Bischofsheim;Rheinland-Pfalz;DE
60009765;Efe;Konratt;;žena;10.04.1975;99100;Dachwig;ThĂĽringen;DE
60000431;Cosimo;Unterhuber;;muž;10.04.1978;16767;Leegebruch;Brandenburg;DE
60001953;Sophian-Noah;Grosscurth;;muž;10.04.1979;96145;SeĂźlach;Bayern;DE
60009783;Tabius;Segmihler;;muž;10.04.1986;55596;WaldbĂ¶ckelheim;Rheinland-Pfalz;DE
60005832;Fankova;Langmeier;;žena;10.04.1930;22049;Hamburg Dulsberg;Hamburg;DE
60008714;MĂ rk;Eckerts;;muž;10.04.1935;15345;Lichtenow;Brandenburg;DE
60007515;Pippilotta;Durmus;;žena;10.04.1946;97288;Theilheim;Bayern;DE
60006717;Juna-Antonia;TheeĂź;;žena;10.04.1973;4880;Elsnig;Sachsen;DE
60005579;Shereen;Oberbillig;;žena;10.04.1929;18528;Zirkow;Mecklenburg-Vorpommern;DE
60002902;Elisee;JĂ¤gerbauer;;žena;10.04.1933;55291;Saulheim;Rheinland-Pfalz;DE
60004512;Kirian;Oettgen;;muž;10.04.1977;33330;GĂĽtersloh;Nordrhein-Westfalen;DE
60002296;Yitian;Erlein;;muž;10.04.1987;18184;Poppendorf;Mecklenburg-Vorpommern;DE
60000269;Lilly-Maria;Bergte;;žena;10.05.1923;92542;Dieterskirchen;Bayern;DE
60006165;Laure;Surbek;;žena;10.05.1941;95706;Schirnding;Bayern;DE
60009732;Yoshio;Kalweytys;;muž;10.05.1952;18107;Elmenhorst-Lichtenhagen;Mecklenburg-Vorpommern;DE
60002276;Hui-Hsin;Roperz;;žena;10.05.1990;6184;Schkopau Ermlitz;Sachsen-Anhalt;DE
60008415;Tihomirov;Mathaei;;muž;10.05.1925;6528;Riethnordhausen;Sachsen-Anhalt;DE
60009429;Evelia;BĂ¶ddeker;;žena;10.05.1938;15344;Strausberg;Brandenburg;DE
60003706;Nojud;Giermanns;;žena;10.05.1969;83355;GrabenstĂ¤tt;Bayern;DE
60005755;TráşĄn;Klingner;;muž;10.05.1973;4916;Werchau;Brandenburg;DE
60007567;Pacal;Froembgen;;muž;10.05.1974;14715;Kriele;Brandenburg;DE
60007637;Mariusova;Krohmer;;žena;10.05.1978;91722;Arberg;Bayern;DE
60005437;Aissatou;Karczmarzyk;;žena;10.05.1980;29585;Jelmstorf;Niedersachsen;DE
60000721;Linabella;Demircioglu;;žena;10.05.1999;76709;Kronau;Baden-WĂĽrttemberg;DE
60004900;Ngobo;HĂ¶ffert;;žena;10.05.1947;55568;Abtweiler;Rheinland-Pfalz;DE
60005467;Frieda-Loba;Nicolaes;;žena;10.05.1963;87545;Burgberg im AllgĂ¤u;Bayern;DE
60001535;Aron;Carsten;;muž;10.05.1988;54689;Preischeid;Rheinland-Pfalz;DE
60005817;Tony;Weverink;;žena;10.05.1992;65520;Bad Camberg;Hessen;DE
60002549;Saskia;SchĂ¶tteldreyer;;žena;10.05.1927;67737;Frankelbach;Rheinland-Pfalz;DE
60005137;Danna;Gruenthaler;;žena;10.05.1952;86866;Mickhausen;Bayern;DE
60004408;Alek;Kurtsiefen;;muž;10.05.1954;4509;SchĂ¶nwĂ¶lkau;Sachsen;DE
