CID;Meno/Priezvisko;Priezvisko;Tituly;pohlavie;Datum narodenia;Adresa;Danovy domicil;Stĺpec2;Stĺpec3
30007931;Rukayye;Hofreuther;;žena;20.1.1920;Rodishain ,ThĂĽringen, 99762;AT;2;AT
30004675;Marijan;Ullbricht;;muž;8.2.1920;Beeskow Schneeberg ,Brandenburg, 15848;AT;2;AT
30006628;Amy-Joline;Hlawacek;;žena;17.3.1920;Kitzingen ,Bayern, 97318;SK;0;SK
30006843;Conner;Konietzna;;žena;25.4.1920;Krempin ,Mecklenburg-Vorpommern, 18233;DE;1;DE
30000282;Mikesch;Oberkampf;;muž;4.5.1920;Alkersum ,Schleswig-Holstein, 25938;SK;0;SK
30005505;Etka;Merckx;;muž;11.5.1920;BrĂĽsewitz ,Mecklenburg-Vorpommern, 19071;AT;2;AT
30000953;Janne;Reinecken;;muž;21.5.1920;Pettstadt ,Bayern, 96175;SK;0;SK
30000769;Amma;Cellarius;;žena;28.5.1920;Hamburg LohbrĂĽgge ,Hamburg, 21033;AT;2;AT
30002407;Cidney-Jay;Krautschun;;muž;6.6.1920;Balje ,Niedersachsen, 21730;AT;2;AT
30006300;Ervina;Kohlhas;;žena;10.6.1920;Schipkau Meuro ,Brandenburg, 1998;SK;0;SK
30006147;Elieser;Boetger;;muž;15.6.1920;Stuttgart Uhlbach ,Baden-WĂĽrttemberg, 70329;AT;2;AT
30001644;Fazli;Hirsemann;;muž;20.6.1920;Berlin ,Berlin, 14057;SK;0;SK
30008069;Alani;Stocke;;žena;18.8.1920;Reichenberg ,Bayern, 97234;AT;2;AT
30000010;Siska;Rosdeutscher;;žena;21.8.1920;Hollstadt ,Bayern, 97618;SK;0;SK
30008015;Dima;Kibar;;muž;12.11.1920;Radisleben ,Sachsen-Anhalt, 6463;SK;0;SK
30007056;Valentinovna;Nungess;;žena;26.11.1920;Eppendorf ,Sachsen, 9575;SK;0;SK
30002019;Anna;Winkeler;;žena;7.12.1920;Dielkirchen ,Rheinland-Pfalz, 67811;AT;2;AT
30003440;Wenzira;Findik;;žena;8.12.1920;Arpsdorf ,Schleswig-Holstein, 24634;DE;1;DE
30001185;Shu;Karaismailoglu;;žena;3.1.1921;GroĂźefehn WestgroĂźefehn ,Niedersachsen, 26629;SK;0;SK
30008761;Dumitriza;Voell;;žena;9.3.1921;Harth-PĂ¶llnitz Burkersdorf ,ThĂĽringen, 7570;DE;1;DE
30009789;Tove;Bscher;;žena;15.3.1921;Seggebruch ,Niedersachsen, 31691;SK;0;SK
30003544;Elian;Voerster;;muž;12.4.1921;Dietrichsdorf ,Sachsen-Anhalt, 6888;AT;2;AT
30008570;Karlmann;Tinnemann;;muž;6.5.1921;Burkersroda ,Sachsen-Anhalt, 6647;DE;1;DE
30002381;Eya;Smirnowa;;žena;10.5.1921;Patersberg ,Rheinland-Pfalz, 56348;SK;0;SK
30004840;Hadassa;Kolar;;žena;26.5.1921;HĂĽbitz ,Sachsen-Anhalt, 6308;DE;1;DE
30005878;Elissio;Waldhaus;;muž;31.5.1921;Herzebrock-Clarholz ,Nordrhein-Westfalen, 33442;DE;1;DE
30004503;MaritĂ©;Albersen;;žena;1.7.1921;Oberhof ,ThĂĽringen, 98559;SK;0;SK
30005831;Sanaz;Klauss;;žena;16.7.1921;Lipten ,Brandenburg, 3205;AT;2;AT
30001263;Ines;FrĂ¶schel;;žena;23.7.1921;Nesow ,Mecklenburg-Vorpommern, 19217;SK;0;SK
30001226;Aliada;Karll;;žena;11.8.1921;Ober-FlĂ¶rsheim ,Rheinland-Pfalz, 55234;DE;1;DE
30008631;Salva;Aemilius;;muž;13.8.1921;KĂ¶ln ,Nordrhein-Westfalen, 51149;SK;0;SK
30003247;Ă–mercan;BlĂĽml;;muž;26.8.1921;Trebgast ,Bayern, 95367;AT;2;AT
30009779;Anneke;Matzkeit;;žena;4.9.1921;MĂĽlsen MĂĽlsen Sankt Jacob ,Sachsen, 8132;AT;2;AT
30002876;Segundo;Birckenstock;;muž;28.9.1921;Wittenburg ,Mecklenburg-Vorpommern, 19243;DE;1;DE
30005796;Bella;Hassloch;;žena;14.10.1921;Stemmen ,Niedersachsen, 27389;DE;1;DE
30006108;Zakhada;Weingartler;;muž;30.10.1921;Bestwig ,Nordrhein-Westfalen, 59909;SK;0;SK
30003948;Andi;BertĂłk;;muž;4.11.1921;Stuttgart Bad Cannstatt ,Baden-WĂĽrttemberg, 70374;AT;2;AT
30003349;Mattie;Bastug;;žena;3.12.1921;Unterweid ,ThĂĽringen, 98634;SK;0;SK
30006061;Meris;Pecht;;muž;13.12.1921;Stapelburg ,Sachsen-Anhalt, 38871;SK;0;SK
30003243;Nina-Florence;Stockmeir;;žena;16.12.1921;Berlin ,Berlin, 13627;SK;0;SK
30009613;Leopoldina;Kernl;;žena;28.12.1921;Diespeck ,Bayern, 91456;DE;1;DE
30008830;Vinnie;Hanci;;muž;30.1.1922;Becherbach ,Rheinland-Pfalz, 67827;AT;2;AT
30006660;Aniik;Beckert;;muž;19.2.1922;BĂĽckeburg ,Niedersachsen, 31675;DE;1;DE
30004785;Anjeolaoluwa;Schuberd;;žena;14.3.1922;Waal ,Bayern, 86875;SK;0;SK
30009579;Kiesse;Heidmeyer;;muž;23.3.1922;Solingen ,Nordrhein-Westfalen, 42653;AT;2;AT
