CID;Meno;Priezvisko;sex;Datum narodenia;PSC;domicil;Adresa
405002364;Leilani;Hanschur;F;09. 02. 2009;39307;SK;Hainburg, Haide strasse 5
405002575;Jannis;Dietershagen;M;07. 03. 2009;23847;CZ;,Bratislava, Hany Melíčkovej 5,CZ
405002290;Alisar;Schoenigan;F;07. 02. 2009;66484;DE;,Trnava,Bratislavská 4,DE
405002447;Vladislavovna;Barts;F;03. 03. 2009;54673;AT;Rheinland-Pfalz,Oberrod,AT
405002452;Ragad;AlthanĂź;F;03. 03. 2009;27412;DE;Sachsen-Anhalt,Ulzigerode,DE
405002467;Reham;Tesmer;F;03. 03. 2009;18258;AT;Niedersachsen,Wangerland Waddewarden,AT
405002566;Nasser-Karim;Eisenschmied;M;07. 03. 2008;56370;DE;Brandenburg,GroĂź Schulzendorf,DE
405002255;Pema;Huberty;F;06. 02. 2008;54472;DE;Sachsen,Hohenstein-Ernstthal,DE
405002269;Joycelyn;Brinkel;F;06. 02. 2008;22927;AT;Schleswig-Holstein,Meggerdorf,AT
405002483;Maichi;Grabenschroer;F;04. 03. 2008;54340;AT;Sachsen,Elsterheide,AT
405002442;Clara-Mia;Deboldt;F;03. 03. 2008;54655;SK;Rheinland-Pfalz,SchĂ¶merich,SK
405002387;NhĆ°;Schwarzenberger;F;01. 03. 2008;56414;AT;Berlin,Berlin,AT
405002565;Bernhild;Spatz;F;07. 03. 2007;22457;AT;Brandenburg,Gosen Neu Zittau,AT
405002127;Nic;Strack;M;01. 02. 2007;18230;SK;Rheinland-Pfalz,Mannebach,SK
405002297;Jumaa;Dochtermann;M;07. 02. 2006;7629;SK;Sachsen-Anhalt,KĂ¶nigsborn,SK
405002262;Lidiyev;Mittermayr;M;06. 02. 2006;19258;DE;Nordrhein-Westfalen,Simmerath,DE
405002268;Olga;Burckards;F;06. 02. 2006;66892;AT;Rheinland-Pfalz,Bergweiler,AT
405002234;Larissa-Sydney;Zellemann;F;05. 02. 2006;17213;DE;Niedersachsen,Vordorf,DE
405002213;Josefien;Koroliuk;F;04. 02. 2006;38154;DE;Baden-WĂĽrttemberg,Bad Waldsee,DE
405002192;Rosalee;Buchwieser;F;03. 02. 2006;71543;SK;Mecklenburg-Vorpommern,Dargelin,SK
405002289;Leodegar;Hintzpeter;M;07. 02. 2005;6254;SK;Brandenburg,Storkow (Mark) GĂ¶rsdorf bei Storkow,SK
405002499;Unejs;Lengkeit;M;04. 03. 2005;13469;AT;Schleswig-Holstein,Sophienhamm,AT
405002507;Nala;Popst;F;04. 03. 2005;8523;SK;ThĂĽringen,Bad Klosterlausnitz,SK
405002386;BĂ¤rbel;Schevtschenko;F;01. 03. 2005;37434;SK;Mecklenburg-Vorpommern,Jennewitz,SK
405002141;Konstancja;Gassner;F;12. 02. 2004;35104;SK;Schleswig-Holstein,MĂĽhlenrade,SK
405002282;Edwad;Wunderli;M;07. 02. 2004;58300;SK;Bayern,Altendorf,SK
405002517;Ahmedbara;Buschmeier;M;05. 03. 2004;1768;DE;Sachsen-Anhalt,Wanzleben,DE
405002459;Abulgasem;Schuwardt;M;03. 03. 2004;90451;SK;Brandenburg,Rehfelde Rehfelde,SK
405002372;Ziya;Wuerst;M;01. 03. 2004;16831;DE;Nordrhein-Westfalen,Gelsenkirchen,DE
405002288;Yuan;Christthaler;M;07. 02. 2003;15926;AT;Berlin,Berlin,AT
405002498;Jennah;FrĂĽhauff;F;04. 03. 2003;22117;SK;Baden-WĂĽrttemberg,Stuttgart,SK
405002168;Cihat;Prues;M;02. 02. 2003;25712;AT;Schleswig-Holstein,Niesgrau,AT
405002125;Viyan;Burk;F;01. 02. 2003;24806;DE;Rheinland-Pfalz,Siefersheim,DE
405002126;Youssra;GaĂźlhuber;F;01. 02. 2003;7639;AT;Schleswig-Holstein,Honigsee,AT
405002363;Linessa;Haddad;F;09. 02. 2002;39619;DE;Schleswig-Holstein,Haby,DE
405002329;Fiodor;Rothhaupt;M;08. 02. 2002;6731;SK;Bayern,Hohenberg an der Eger,SK
405002211;Taj;SchĂ¶nbrot;F;04. 02. 2002;6682;AT;Bayern,Sulzheim,AT
405002441;Janyar;Stumpfe;M;03. 03. 2002;20097;DE;Hessen,Lichtenfels,DE
405002371;Lilianne;Gierhards;F;01. 03. 2002;84435;DE;Mecklenburg-Vorpommern,Spornitz,DE
405002277;Manasa;Damjanovic;F;07. 02. 2001;54595;AT;Niedersachsen,Frelsdorf,AT
405002536;Nataniel;Niederheide;M;06. 03. 2001;15913;AT;Hamburg,Hamburg,AT
405002243;Elara-Fee;HĂĽgens;F;06. 02. 2000;56337;AT;ThĂĽringen,Sonneborn,AT
405002233;Ntale;Ossenschmidt;F;05. 02. 2000;7629;DE;Sachsen-Anhalt,Heimburg,DE
405002303;Davorin;BiĂźwurm;M;08. 02. 1999;6917;SK;Bayern,Wattendorf,SK
405002511;Sanin;Knorz;M;05. 03. 1999;88427;SK;Bayern,Rudelzhausen,SK
405002433;Habiba;Theobaldy;F;02. 03. 1999;14055;AT;Rheinland-Pfalz,Wirschweiler,AT
405002148;Tyran;Ziergoebel;M;12. 02. 1998;84104;AT;Rheinland-Pfalz,Kastellaun,AT
