CID;Meno/Priezvisko;Priezvisko;Tituly;sex;Datum narodenia;PSC;mesto;kraj;Danovy domicil;Stĺpec2;dom2
2003426;Titus;Ansorge;;male;1998-05-31;65558;Flacht;Rheinland-Pfalz;SK;0;SK
2009726;Aria;Kaminske;;female;1990-05-31;18445;Kramerhof;Mecklenburg-Vorpommern;SK;0;SK
2002959;Haci;Cankurt;;male;1978-05-31;14662;Vietznitz;Brandenburg;SK;0;SK
2006301;Mavis;Wojtzik;;female;1953-05-31;54498;Piesport;Rheinland-Pfalz;SK;0;SK
2002347;Diá»…m;Nikolaitschik;;female;1941-05-31;38170;Kneitlingen;Niedersachsen;DE;1;DE
2009680;Tanami;Kleyman;;female;30.4.2008;15890;Siehdichum;Brandenburg;DE;1;DE
2003208;MadĂł;Sengstaken;;female;30.4.2007;58640;Iserlohn;Nordrhein-Westfalen;AT;2;AT
2006840;Aidin;Hillebrecht;;male;30.4.2004;49586;Merzen;Niedersachsen;AT;2;AT
2002264;Zubeyde;Grauer;;female;30.4.2004;67105;Schifferstadt;Rheinland-Pfalz;AT;2;AT
2002538;Nil;Scheuert;;female;30.4.2003;37339;Breitenworbis;ThĂĽringen;SK;0;SK
2008681;Thibo;Kimel;;male;30.4.1987;82494;KrĂĽn;Bayern;SK;0;SK
2000668;Yusuf;Corstjens;;male;30.4.1986;4617;Haselbach;ThĂĽringen;SK;0;SK
2007801;Silvius;Hinzen;;male;30.4.1982;67251;Freinsheim;Rheinland-Pfalz;AT;2;AT
2008262;Fryda;Kirschbaum;;female;30.4.1979;18107;Rostock;Mecklenburg-Vorpommern;AT;2;AT
2001884;Anatolii;Balthasar;;male;30.4.1979;99834;LauchrĂ¶den;ThĂĽringen;AT;2;AT
2005769;Tekin;Waldhaeuser;;male;30.4.1976;95517;Seybothenreuth;Bayern;AT;2;AT
2009063;Lukasz;Gencay;;male;30.4.1970;55758;Oberreidenbach;Rheinland-Pfalz;AT;2;AT
2003797;Beck;Buchheiser;;male;30.4.1964;24864;Goltoft;Schleswig-Holstein;DE;1;DE
2004507;Jerzy;KĂĽbl;;male;30.4.1949;15936;Dahmetal;Brandenburg;DE;1;DE
2004195;Yoshua-Damian;Pillebeit;;male;30.4.1947;85655;Loibersdorf bei GroĂźhelfendorf;Bayern;AT;2;AT
2000630;Bao;Schiegl;;male;30.4.1947;86486;Bonstetten;Bayern;AT;2;AT
2002958;Thijs;Krautz;;male;30.4.1943;15372;MĂĽncheberg;Brandenburg;SK;0;SK
2001678;Paul;Plattner;;male;30.4.1939;24882;Schaalby;Schleswig-Holstein;AT;2;AT
2001627;Saliah;Lemmke;;female;30.4.1933;41066;MĂ¶nchengladbach;Nordrhein-Westfalen;DE;1;DE
